,single_q,double_q,dashes,braces,spaces,badwords,class,Cluster
0,,,,,,,,Cluster 0
1,0.0,0.0,0.0,0.0,0.0,0.0,bad,Cluster 0
2,,,,,,,,Cluster 0
3,0.0,0.0,0.0,0.0,0.0,0.0,bad,Cluster 0
4,,,,,,,,Cluster 0
5,0.0,2.0,0.0,0.0,0.0,1.0,bad,Cluster 0
6,,,,,,,,Cluster 0
7,2.0,1.0,1.0,0.0,0.0,3.0,bad,Cluster 1
8,,,,,,,,Cluster 0
9,2.0,1.0,1.0,0.0,0.0,3.0,bad,Cluster 1
10,,,,,,,,Cluster 0
11,0.0,4.0,0.0,4.0,0.0,1.0,bad,Cluster 2
12,,,,,,,,Cluster 0
13,0.0,1.0,0.0,2.0,0.0,1.0,bad,Cluster 2
14,,,,,,,,Cluster 0
15,0.0,1.0,1.0,1.0,0.0,2.0,bad,Cluster 1
16,,,,,,,,Cluster 0
17,0.0,1.0,1.0,1.0,0.0,2.0,bad,Cluster 1
18,,,,,,,,Cluster 0
19,0.0,1.0,1.0,1.0,0.0,2.0,bad,Cluster 1
20,,,,,,,,Cluster 0
21,0.0,2.0,0.0,1.0,0.0,2.0,bad,Cluster 2
22,,,,,,,,Cluster 0
23,0.0,2.0,0.0,1.0,0.0,2.0,bad,Cluster 2
24,,,,,,,,Cluster 0
25,2.0,1.0,1.0,0.0,0.0,3.0,bad,Cluster 1
26,,,,,,,,Cluster 0
27,0.0,4.0,0.0,2.0,0.0,1.0,bad,Cluster 2
28,,,,,,,,Cluster 0
29,0.0,1.0,0.0,2.0,0.0,1.0,bad,Cluster 2
30,,,,,,,,Cluster 0
31,0.0,1.0,1.0,1.0,0.0,2.0,bad,Cluster 1
32,,,,,,,,Cluster 0
33,0.0,1.0,1.0,1.0,0.0,2.0,bad,Cluster 1
34,,,,,,,,Cluster 0
35,0.0,2.0,0.0,1.0,0.0,2.0,bad,Cluster 2
36,,,,,,,,Cluster 0
